Metin,Durum,metin_lower,metin_cleaned,metin_tokenized,metin_nostop,metin_lemmatized,metin_stemmed
ürün fiyatina gore guzel bekledigimden guzel ??,1,ürün fiyatina gore guzel bekledigimden guzel ??,ürün fiyatina gore guzel bekledigimden guzel ??,"['ürün', 'fiyatina', 'gore', 'guzel', 'bekledigimden', 'guzel']","['ürün', 'fiyatina', 'gore', 'guzel', 'bekledigimden', 'guzel']","['ürün', '', '', '', '', '']","['ürün', '', '', '', '', '']"
hızlı ve özenli kargo teşekkürler.,1,hızlı ve özenli kargo teşekkürler.,hızlı ve özenli kargo teşekkürler.,"['hızlı', 've', 'özenli', 'kargo', 'teşekkürler']","['hızlı', 'özenli', 'kargo', 'teşekkürler']","['hızlı', 'özenli', 'kargo', 'teşekkür']","['hızlı', 'özenli', 'kargo', 'teşekkür']"
urun gelmiyor 10 gundur bekliyoz magaza iletisim sifir siparis tamamlandi diyor urun gelmiyor dolandirildik,0,urun gelmiyor 10 gundur bekliyoz magaza iletisim sifir siparis tamamlandi diyor urun gelmiyor dolandirildik,urun gelmiyor 10 gundur bekliyoz magaza iletisim sifir siparis tamamlandi diyor urun gelmiyor dolandirildik,"['urun', 'gelmiyor', 'gundur', 'bekliyoz', 'magaza', 'iletisim', 'sifir', 'siparis', 'tamamlandi', 'diyor', 'urun', 'gelmiyor', 'dolandirildik']","['urun', 'gelmiyor', 'gundur', 'bekliyoz', 'magaza', 'iletisim', 'sifir', 'siparis', 'tamamlandi', 'diyor', 'urun', 'gelmiyor', 'dolandirildik']","['ur', 'gel', '', 'bekli', '', '', '', '', '', 'de', 'ur', 'gel', '']","['ur', 'gel', '', 'bekli', '', '', '', '', '', 'de', 'ur', 'gel', '']"
urun cok guzel bekledigim gibi geldi cok memnun kaldim super bi urun.,1,urun cok guzel bekledigim gibi geldi cok memnun kaldim super bi urun.,urun cok guzel bekledigim gibi geldi cok memnun kaldim super bi urun.,"['urun', 'cok', 'guzel', 'bekledigim', 'gibi', 'geldi', 'cok', 'memnun', 'kaldim', 'super', 'bi', 'urun']","['urun', 'cok', 'guzel', 'bekledigim', 'geldi', 'cok', 'memnun', 'kaldim', 'super', 'bi', 'urun']","['ur', '', '', '', 'gel', '', 'memnun', '', '', '', 'ur']","['ur', '', '', '', 'gel', '', 'memnun', '', '', '', 'ur']"
Ürün anlatıldığı gibi mağaza yorumları korkutmuştu fakat ürün 2 günde elime ulaştı herhangi bir problem yok,1,ürün anlatıldığı gibi mağaza yorumları korkutmuştu fakat ürün 2 günde elime ulaştı herhangi bir problem yok,ürün anlatıldığı gibi mağaza yorumları korkutmuştu fakat ürün 2 günde elime ulaştı herhangi bir problem yok,"['ürün', 'anlatıldığı', 'gibi', 'mağaza', 'yorumları', 'korkutmuştu', 'fakat', 'ürün', 'günde', 'elime', 'ulaştı', 'herhangi', 'bir', 'problem', 'yok']","['ürün', 'anlatıldığı', 'mağaza', 'yorumları', 'korkutmuştu', 'fakat', 'ürün', 'günde', 'elime', 'ulaştı', 'herhangi', 'bir', 'problem', 'yok']","['ürün', 'anlatıldık', 'mağaza', 'yorum', 'korkut', 'fakat', 'ürün', 'günde', 'elim', 'ulaş', 'herhangi', 'bir', 'problem', 'yok']","['ürün', 'anlatıldık', 'mağaza', 'yorum', 'korkut', 'fakat', 'ürün', 'günde', 'elim', 'ulaş', 'herhangi', 'bir', 'problem', 'yok']"
Ürünler kaliteli teşekkürler,1,ürünler kaliteli teşekkürler,ürünler kaliteli teşekkürler,"['ürünler', 'kaliteli', 'teşekkürler']","['ürünler', 'kaliteli', 'teşekkürler']","['ürün', 'kaliteli', 'teşekkür']","['ürün', 'kalit', 'teşekkür']"
Çok beğendim çocukların saçlarını rahatlıkla kesebiliyorum tam istediğim gibi,1,çok beğendim çocukların saçlarını rahatlıkla kesebiliyorum tam istediğim gibi,çok beğendim çocukların saçlarını rahatlıkla kesebiliyorum tam istediğim gibi,"['çok', 'beğendim', 'çocukların', 'saçlarını', 'rahatlıkla', 'kesebiliyorum', 'tam', 'istediğim', 'gibi']","['beğendim', 'çocukların', 'saçlarını', 'rahatlıkla', 'kesebiliyorum', 'tam', 'istediğim']","['beğen', 'çocuk', 'saç', 'rahatlık', 'kesebil', 'tam', 'istedik']","['beğen', 'çocuk', 'saç', 'rahatlık', 'kesebil', 'tam', 'istedik']"
Ürün şık ve kullanışlı,1,ürün şık ve kullanışlı,ürün şık ve kullanışlı,"['ürün', 'şık', 've', 'kullanışlı']","['ürün', 'şık', 'kullanışlı']","['ürün', 'şık', 'kullanışlı']","['ürün', 'şık', 'kullanışlı']"
urun cok guzel siddetle tavsiye ederim 2 adet aldim,1,urun cok guzel siddetle tavsiye ederim 2 adet aldim,urun cok guzel siddetle tavsiye ederim 2 adet aldim,"['urun', 'cok', 'guzel', 'siddetle', 'tavsiye', 'ederim', 'adet', 'aldim']","['urun', 'cok', 'guzel', 'siddetle', 'tavsiye', 'ederim', 'adet', 'aldim']","['ur', '', '', '', 'tavsiye', 'eder', 'adet', '']","['ur', '', '', '', 'tavsiy', 'eder', 'adet', '']"
güzel ürün tavsiye ederim,1,güzel ürün tavsiye ederim,güzel ürün tavsiye ederim,"['güzel', 'ürün', 'tavsiye', 'ederim']","['güzel', 'ürün', 'tavsiye', 'ederim']","['güzel', 'ürün', 'tavsiye', 'eder']","['güzel', 'ürün', 'tavsiy', 'eder']"
Makine gayet iyi memnun kaldım fakat şarj unitesi çalışmıyordu iade etmekle uğraşmak istemedim usb ile şarj olabiliyor ??,2,makine gayet iyi memnun kaldım fakat şarj unitesi çalışmıyordu iade etmekle uğraşmak istemedim usb ile şarj olabiliyor ??,makine gayet iyi memnun kaldım fakat şarj unitesi çalışmıyordu iade etmekle uğraşmak istemedim usb ile şarj olabiliyor ??,"['makine', 'gayet', 'iyi', 'memnun', 'kaldım', 'fakat', 'şarj', 'unitesi', 'çalışmıyordu', 'iade', 'etmekle', 'uğraşmak', 'istemedim', 'usb', 'ile', 'şarj', 'olabiliyor']","['makine', 'gayet', 'iyi', 'memnun', 'kaldım', 'fakat', 'şarj', 'unitesi', 'çalışmıyordu', 'iade', 'etmekle', 'uğraşmak', 'istemedim', 'usb', 'şarj', 'olabiliyor']","['makine', 'gayet', 'iyi', 'memnun', 'kal', 'fakat', 'şarj', '', 'çalış', 'iade', 'etmek', 'uğraşmak', 'iste', '', 'şarj', 'olabil']","['makin', 'gayet', 'iyi', 'memnun', 'kal', 'fakat', 'şarj', '', 'çalış', 'iad', 'etmek', 'uğraşmak', 'ist', '', 'şarj', 'olabil']"
ÜRÜN GAYET KULLANIŞLI UMARIM UZUN ÖMÜRLÜ OLUR TEŞEKKÜRLER,1,ürün gayet kullanişli umarim uzun ömürlü olur teşekkürler,ürün gayet kullanişli umarim uzun ömürlü olur teşekkürler,"['ürün', 'gayet', 'kullanişli', 'umarim', 'uzun', 'ömürlü', 'olur', 'teşekkürler']","['ürün', 'gayet', 'kullanişli', 'umarim', 'uzun', 'ömürlü', 'olur', 'teşekkürler']","['ürün', 'gayet', '', '', 'uzun', 'ömürlü', 'olur', 'teşekkür']","['ürün', 'gayet', '', '', 'uzun', 'ömürlü', 'olur', 'teşekkür']"
bu makineden ikinci alışım gayet iyi bir makina. sakal için öneririm. magazadan da 4. makina alışım . olumsuz birşeyle karşılaşmadım,1,bu makineden ikinci alışım gayet iyi bir makina. sakal için öneririm. magazadan da 4. makina alışım . olumsuz birşeyle karşılaşmadım,bu makineden ikinci alışım gayet iyi bir makina. sakal için öneririm. magazadan da 4. makina alışım . olumsuz birşeyle karşılaşmadım,"['bu', 'makineden', 'ikinci', 'alışım', 'gayet', 'iyi', 'bir', 'makina', 'sakal', 'için', 'öneririm', 'magazadan', 'da', 'makina', 'alışım', 'olumsuz', 'birşeyle', 'karşılaşmadım']","['makineden', 'ikinci', 'alışım', 'gayet', 'iyi', 'bir', 'makina', 'sakal', 'öneririm', 'magazadan', 'makina', 'alışım', 'olumsuz', 'birşeyle', 'karşılaşmadım']","['makine', 'ikinci', 'alış', 'gayet', 'iyi', 'bir', '', 'sakal', 'öner', '', '', 'alış', 'olumsuz', '', 'karşılaş']","['makin', 'ikinci', 'alış', 'gayet', 'iyi', 'bir', '', 'sakal', 'öner', '', '', 'alış', 'olumsuz', '', 'karşılaş']"
hızlı satıcı problem yok,1,hızlı satıcı problem yok,hızlı satıcı problem yok,"['hızlı', 'satıcı', 'problem', 'yok']","['hızlı', 'satıcı', 'problem', 'yok']","['hızlı', 'satıcı', 'problem', 'yok']","['hızlı', 'satıcı', 'problem', 'yok']"
"Birçok traş makinesi kullandım. Gerçekten kullanışlı ve güzel bir ürün yapmışlar, çok beğendim. Ürünlere pek yorum yapmam ama bu ürünü kullandıktan sonra kendimi bir anlamda mecbur hissettim :",1,"birçok traş makinesi kullandım. gerçekten kullanışlı ve güzel bir ürün yapmışlar, çok beğendim. ürünlere pek yorum yapmam ama bu ürünü kullandıktan sonra kendimi bir anlamda mecbur hissettim :","birçok traş makinesi kullandım. gerçekten kullanışlı ve güzel bir ürün yapmışlar, çok beğendim. ürünlere pek yorum yapmam ama bu ürünü kullandıktan sonra kendimi bir anlamda mecbur hissettim :","['birçok', 'traş', 'makinesi', 'kullandım', 'gerçekten', 'kullanışlı', 've', 'güzel', 'bir', 'ürün', 'yapmışlar', 'çok', 'beğendim', 'ürünlere', 'pek', 'yorum', 'yapmam', 'ama', 'bu', 'ürünü', 'kullandıktan', 'sonra', 'kendimi', 'bir', 'anlamda', 'mecbur', 'hissettim']","['birçok', 'traş', 'makinesi', 'kullandım', 'gerçekten', 'kullanışlı', 'güzel', 'bir', 'ürün', 'yapmışlar', 'beğendim', 'ürünlere', 'pek', 'yorum', 'yapmam', 'ürünü', 'kullandıktan', 'sonra', 'kendimi', 'bir', 'anlamda', 'mecbur', 'hissettim']","['birçok', '', 'makine', 'kullan', 'gerçekten', 'kullanışlı', 'güzel', 'bir', 'ürün', 'yap', 'beğen', 'ürün', 'pek', 'yorum', 'yap', 'ürün', 'kullandık', 'sonra', 'kendi', 'bir', 'anlam', 'mecbur', 'hisset']","['birçok', '', 'makin', 'kullan', 'gerçekten', 'kullanışlı', 'güzel', 'bir', 'ürün', 'yap', 'beğen', 'ürün', 'pek', 'yorum', 'yap', 'ürün', 'kullandık', 'sonra', 'kendi', 'bir', 'anlam', 'mecbur', 'hisset']"
Olay budur. Boş yere diğer markalara para vermeyin. Tıraş sadece 2 dk sürdü. Oldukça sessiz.,1,olay budur. boş yere diğer markalara para vermeyin. tıraş sadece 2 dk sürdü. oldukça sessiz.,olay budur. boş yere diğer markalara para vermeyin. tıraş sadece 2 dk sürdü. oldukça sessiz.,"['olay', 'budur', 'boş', 'yere', 'diğer', 'markalara', 'para', 'vermeyin', 'tıraş', 'sadece', 'dk', 'sürdü', 'oldukça', 'sessiz']","['olay', 'budur', 'boş', 'yere', 'diğer', 'markalara', 'para', 'vermeyin', 'tıraş', 'sadece', 'dk', 'sürdü', 'oldukça', 'sessiz']","['olay', 'bu', 'boş', 'yer', 'diğer', 'marka', 'para', 'ver', 'tıraş', 'sade', '', 'sür', 'oldukça', 'sessiz']","['olay', 'bu', 'boş', 'yer', 'diğer', 'marka', 'para', 'ver', 'tıraş', 'sade', '', 'sür', 'oldukça', 'sessiz']"
Ürün kullanışlı ve kesimi güzel parasinin hakkini veriyor,1,ürün kullanışlı ve kesimi güzel parasinin hakkini veriyor,ürün kullanışlı ve kesimi güzel parasinin hakkini veriyor,"['ürün', 'kullanışlı', 've', 'kesimi', 'güzel', 'parasinin', 'hakkini', 'veriyor']","['ürün', 'kullanışlı', 'kesimi', 'güzel', 'parasinin', 'hakkini', 'veriyor']","['ürün', 'kullanışlı', 'kesim', 'güzel', '', 'hak', 'ver']","['ürün', 'kullanışlı', 'kesim', 'güzel', '', 'hak', 'ver']"
Makine oldukça kaliteli. Sakal için rahatlıkla kullanıyorum. Tavsiye ederim.,1,makine oldukça kaliteli. sakal için rahatlıkla kullanıyorum. tavsiye ederim.,makine oldukça kaliteli. sakal için rahatlıkla kullanıyorum. tavsiye ederim.,"['makine', 'oldukça', 'kaliteli', 'sakal', 'için', 'rahatlıkla', 'kullanıyorum', 'tavsiye', 'ederim']","['makine', 'oldukça', 'kaliteli', 'sakal', 'rahatlıkla', 'kullanıyorum', 'tavsiye', 'ederim']","['makine', 'oldukça', 'kaliteli', 'sakal', 'rahatlık', 'kullan', 'tavsiye', 'eder']","['makin', 'oldukça', 'kalit', 'sakal', 'rahatlık', 'kullan', 'tavsiy', 'eder']"
hasarlı gelgi geri yolladım kullanmadık ,0,hasarlı gelgi geri yolladım kullanmadık ,hasarlı gelgi geri yolladım kullanmadık ,"['hasarlı', 'gelgi', 'geri', 'yolladım', 'kullanmadık']","['hasarlı', 'gelgi', 'geri', 'yolladım', 'kullanmadık']","['hasarlı', '', 'geri', 'yolla', 'kullan']","['hasarlı', '', 'geri', 'yolla', 'kullan']"
"Ürün 3-4 ay kadar dayanabildi sonrası hüsran, parasını çıkardı mı evet. Ama beklentiniz yüksek olmasın. Hem saç hem sakal traşı için kullanıldı. Ama belirli bir süre sonra kesim yaparken boğulmaya başladı ve kesememeye başladı.",0,"ürün 3-4 ay kadar dayanabildi sonrası hüsran, parasını çıkardı mı evet. ama beklentiniz yüksek olmasın. hem saç hem sakal traşı için kullanıldı. ama belirli bir süre sonra kesim yaparken boğulmaya başladı ve kesememeye başladı.","ürün 3-4 ay kadar dayanabildi sonrası hüsran, parasını çıkardı mı evet. ama beklentiniz yüksek olmasın. hem saç hem sakal traşı için kullanıldı. ama belirli bir süre sonra kesim yaparken boğulmaya başladı ve kesememeye başladı.","['ürün', 'ay', 'kadar', 'dayanabildi', 'sonrası', 'hüsran', 'parasını', 'çıkardı', 'mı', 'evet', 'ama', 'beklentiniz', 'yüksek', 'olmasın', 'hem', 'saç', 'hem', 'sakal', 'traşı', 'için', 'kullanıldı', 'ama', 'belirli', 'bir', 'süre', 'sonra', 'kesim', 'yaparken', 'boğulmaya', 'başladı', 've', 'kesememeye', 'başladı']","['ürün', 'ay', 'kadar', 'dayanabildi', 'sonrası', 'hüsran', 'parasını', 'çıkardı', 'evet', 'beklentiniz', 'yüksek', 'olmasın', 'saç', 'sakal', 'traşı', 'kullanıldı', 'belirli', 'bir', 'süre', 'sonra', 'kesim', 'yaparken', 'boğulmaya', 'başladı', 'kesememeye', 'başladı']","['ürün', 'ay', 'kadar', 'dayanabil', 'sonra', 'hüsran', 'para', 'çık', 'evet', 'beklenti', 'yüksek', 'ol', 'saç', 'sakal', '', 'kullanıl', 'belirli', 'bir', 'süre', 'sonra', 'kesim', 'yap', 'boğul', 'başla', 'kesememe', 'başla']","['ürün', 'ay', 'kadar', 'dayanabil', 'sonra', 'hüsran', 'para', 'çık', 'evet', 'beklenti', 'yüksek', 'ol', 'saç', 'sakal', '', 'kullanıl', 'belirli', 'bir', 'süre', 'sonra', 'kesim', 'yap', 'boğul', 'başla', 'kesemem', 'başla']"
Ürün paketsiz şekilde geldi evime gelmedi kendim gittim aldım sanki kullanılmış gibiydi öyle geldi bana emin değilim ama ürün çalışıyor sorun yok,0,ürün paketsiz şekilde geldi evime gelmedi kendim gittim aldım sanki kullanılmış gibiydi öyle geldi bana emin değilim ama ürün çalışıyor sorun yok,ürün paketsiz şekilde geldi evime gelmedi kendim gittim aldım sanki kullanılmış gibiydi öyle geldi bana emin değilim ama ürün çalışıyor sorun yok,"['ürün', 'paketsiz', 'şekilde', 'geldi', 'evime', 'gelmedi', 'kendim', 'gittim', 'aldım', 'sanki', 'kullanılmış', 'gibiydi', 'öyle', 'geldi', 'bana', 'emin', 'değilim', 'ama', 'ürün', 'çalışıyor', 'sorun', 'yok']","['ürün', 'paketsiz', 'şekilde', 'geldi', 'evime', 'gelmedi', 'kendim', 'gittim', 'aldım', 'kullanılmış', 'gibiydi', 'öyle', 'geldi', 'bana', 'emin', 'değilim', 'ürün', 'çalışıyor', 'sorun', 'yok']","['ürün', 'paketsiz', 'şekil', 'gel', 'ev', 'gel', 'kendi', 'git', 'al', 'kullanılmış', 'gibi', 'öyle', 'gel', 'bana', 'emin', 'değil', 'ürün', 'çalış', 'sorun', 'yok']","['ürün', 'paketsiz', 'şekil', 'gel', 'ev', 'gel', 'kendi', 'git', 'al', 'kullanılmış', 'gibi', 'öyle', 'gel', 'bana', 'emin', 'değil', 'ürün', 'çalış', 'sorun', 'yok']"
Fiyat performans ürünü,1,fiyat performans ürünü,fiyat performans ürünü,"['fiyat', 'performans', 'ürünü']","['fiyat', 'performans', 'ürünü']","['fiyat', 'performans', 'ürün']","['fiyat', 'performan', 'ürün']"
efsane bir ürün sakal ve ense çizim için ideal saç için farklı ürünlere bakın kirli sakal ve bir numara için,1,efsane bir ürün sakal ve ense çizim için ideal saç için farklı ürünlere bakın kirli sakal ve bir numara için,efsane bir ürün sakal ve ense çizim için ideal saç için farklı ürünlere bakın kirli sakal ve bir numara için,"['efsane', 'bir', 'ürün', 'sakal', 've', 'ense', 'çizim', 'için', 'ideal', 'saç', 'için', 'farklı', 'ürünlere', 'bakın', 'kirli', 'sakal', 've', 'bir', 'numara', 'için']","['efsane', 'bir', 'ürün', 'sakal', 'ense', 'çizim', 'ideal', 'saç', 'farklı', 'ürünlere', 'bakın', 'kirli', 'sakal', 'bir', 'numara']","['efsane', 'bir', 'ürün', 'sakal', 'ense', 'çizim', 'ideal', 'saç', 'farklı', 'ürün', 'bak', 'kirli', 'sakal', 'bir', 'numara']","['efsan', 'bir', 'ürün', 'sakal', 'ens', 'çizim', 'ideal', 'saç', 'farklı', 'ürün', 'bak', 'kirli', 'sakal', 'bir', 'numara']"
"Ürünü çok beğendim güzel kesiyor, bu kadar beklemiyordum. Gayet başarılı. Fiyatta uygun. Şuan için güzel. Gelecekte ne olur bilemem. Fiyata göre çok iyi.",1,"ürünü çok beğendim güzel kesiyor, bu kadar beklemiyordum. gayet başarılı. fiyatta uygun. şuan için güzel. gelecekte ne olur bilemem. fiyata göre çok iyi.","ürünü çok beğendim güzel kesiyor, bu kadar beklemiyordum. gayet başarılı. fiyatta uygun. şuan için güzel. gelecekte ne olur bilemem. fiyata göre çok iyi.","['ürünü', 'çok', 'beğendim', 'güzel', 'kesiyor', 'bu', 'kadar', 'beklemiyordum', 'gayet', 'başarılı', 'fiyatta', 'uygun', 'şuan', 'için', 'güzel', 'gelecekte', 'ne', 'olur', 'bilemem', 'fiyata', 'göre', 'çok', 'iyi']","['ürünü', 'beğendim', 'güzel', 'kesiyor', 'kadar', 'beklemiyordum', 'gayet', 'başarılı', 'fiyatta', 'uygun', 'şuan', 'güzel', 'gelecekte', 'olur', 'bilemem', 'fiyata', 'göre', 'iyi']","['ürün', 'beğen', 'güzel', 'kes', 'kadar', 'bekle', 'gayet', 'başarılı', 'fiyat', 'uygun', 'şua', 'güzel', 'gelecek', 'olur', 'bile', 'fiyat', 'göre', 'iyi']","['ürün', 'beğen', 'güzel', 'ke', 'kadar', 'bekl', 'gayet', 'başarılı', 'fiyat', 'uygun', 'şua', 'güzel', 'gelecek', 'olur', 'bile', 'fiyat', 'göre', 'iyi']"
ürün güzel tavsiye ederin sıfır kesim için aldım gayet iyi,1,ürün güzel tavsiye ederin sıfır kesim için aldım gayet iyi,ürün güzel tavsiye ederin sıfır kesim için aldım gayet iyi,"['ürün', 'güzel', 'tavsiye', 'ederin', 'sıfır', 'kesim', 'için', 'aldım', 'gayet', 'iyi']","['ürün', 'güzel', 'tavsiye', 'ederin', 'sıfır', 'kesim', 'aldım', 'gayet', 'iyi']","['ürün', 'güzel', 'tavsiye', 'eder', 'sıfır', 'kesim', 'al', 'gayet', 'iyi']","['ürün', 'güzel', 'tavsiy', 'eder', 'sıfır', 'kesim', 'al', 'gayet', 'iyi']"
Gayet guzel goruntulu ve kaliteli urun.,1,gayet guzel goruntulu ve kaliteli urun.,gayet guzel goruntulu ve kaliteli urun.,"['gayet', 'guzel', 'goruntulu', 've', 'kaliteli', 'urun']","['gayet', 'guzel', 'goruntulu', 'kaliteli', 'urun']","['gayet', '', '', 'kaliteli', 'ur']","['gayet', '', '', 'kalit', 'ur']"
philipsin tras makinesini kullanıyordum. Bu ürün şarj ve bıçak olarak philips'ten daha kaliteli. bosuna 3 kati fazla ödeyip marka almayin. cok iyi kesiyor sıfıra yakın,1,philipsin tras makinesini kullanıyordum. bu ürün şarj ve bıçak olarak philips'ten daha kaliteli. bosuna 3 kati fazla ödeyip marka almayin. cok iyi kesiyor sıfıra yakın,philipsin tras makinesini kullanıyordum. bu ürün şarj ve bıçak olarak philips'ten daha kaliteli. bosuna 3 kati fazla ödeyip marka almayin. cok iyi kesiyor sıfıra yakın,"['philipsin', 'tras', 'makinesini', 'kullanıyordum', 'bu', 'ürün', 'şarj', 've', 'bıçak', 'olarak', 'philipsten', 'daha', 'kaliteli', 'bosuna', 'kati', 'fazla', 'ödeyip', 'marka', 'almayin', 'cok', 'iyi', 'kesiyor', 'sıfıra', 'yakın']","['philipsin', 'tras', 'makinesini', 'kullanıyordum', 'ürün', 'şarj', 'bıçak', 'olarak', 'philipsten', 'kaliteli', 'bosuna', 'kati', 'fazla', 'ödeyip', 'marka', 'almayin', 'cok', 'iyi', 'kesiyor', 'sıfıra', 'yakın']","['', 'tras', 'makine', 'kullan', 'ürün', 'şarj', 'bıçak', 'olarak', '', 'kaliteli', '', 'kati', 'fazla', 'ödeyip', 'marka', '', '', 'iyi', 'kes', 'sıfır', 'yak']","['', 'tra', 'makin', 'kullan', 'ürün', 'şarj', 'bıçak', 'olarak', '', 'kalit', '', 'kati', 'fazla', 'ödeyip', 'marka', '', '', 'iyi', 'ke', 'sıfır', 'yak']"
103 liraya alincaj gzl kibar makina her ise yarar. Sac kesme harici her ise yarar sakal vs,1,103 liraya alincaj gzl kibar makina her ise yarar. sac kesme harici her ise yarar sakal vs,103 liraya alincaj gzl kibar makina her ise yarar. sac kesme harici her ise yarar sakal vs,"['liraya', 'alincaj', 'gzl', 'kibar', 'makina', 'her', 'ise', 'yarar', 'sac', 'kesme', 'harici', 'her', 'ise', 'yarar', 'sakal', 'vs']","['liraya', 'alincaj', 'gzl', 'kibar', 'makina', 'yarar', 'sac', 'kesme', 'harici', 'yarar', 'sakal', 'vs']","['lira', '', '', 'kibar', '', 'yarar', 'sac', 'kes', 'haricî', 'yarar', 'sakal', '']","['lira', '', '', 'kibar', '', 'yarar', 'sac', 'ke', 'haricî', 'yarar', 'sakal', '']"
